D:\MtechSemester4-Project\data\IMG\center_2021_01_25_22_51_25_953.jpg,D:\MtechSemester4-Project\data\IMG\left_2021_01_25_22_51_25_953.jpg,D:\MtechSemester4-Project\data\IMG\right_2021_01_25_22_51_25_953.jpg,0,0,0,9.477592E-05
D:\MtechSemester4-Project\data\IMG\center_2021_01_25_22_51_26_052.jpg,D:\MtechSemester4-Project\data\IMG\left_2021_01_25_22_51_26_052.jpg,D:\MtechSemester4-Project\data\IMG\right_2021_01_25_22_51_26_052.jpg,0,0,0,0.0001278427
D:\MtechSemester4-Project\data\IMG\center_2021_01_25_22_51_26_153.jpg,D:\MtechSemester4-Project\data\IMG\left_2021_01_25_22_51_26_153.jpg,D:\MtechSemester4-Project\data\IMG\right_2021_01_25_22_51_26_153.jpg,0,0,0,0.0001278431
D:\MtechSemester4-Project\data\IMG\center_2021_01_25_22_51_26_251.jpg,D:\MtechSemester4-Project\data\IMG\left_2021_01_25_22_51_26_251.jpg,D:\MtechSemester4-Project\data\IMG\right_2021_01_25_22_51_26_251.jpg,0,0,0,0.000260743
D:\MtechSemester4-Project\data\IMG\center_2021_01_25_22_51_26_349.jpg,D:\MtechSemester4-Project\data\IMG\left_2021_01_25_22_51_26_349.jpg,D:\MtechSemester4-Project\data\IMG\right_2021_01_25_22_51_26_349.jpg,0,0,0,4.488682E-05
D:\MtechSemester4-Project\data\IMG\center_2021_01_25_22_51_26_447.jpg,D:\MtechSemester4-Project\data\IMG\left_2021_01_25_22_51_26_447.jpg,D:\MtechSemester4-Project\data\IMG\right_2021_01_25_22_51_26_447.jpg,0,0,0,7.622196E-05
D:\MtechSemester4-Project\data\IMG\center_2021_01_25_22_51_26_547.jpg,D:\MtechSemester4-Project\data\IMG\left_2021_01_25_22_51_26_547.jpg,D:\MtechSemester4-Project\data\IMG\right_2021_01_25_22_51_26_547.jpg,0,0,0,9.351443E-05
D:\MtechSemester4-Project\data\IMG\center_2021_01_25_22_51_26_647.jpg,D:\MtechSemester4-Project\data\IMG\left_2021_01_25_22_51_26_647.jpg,D:\MtechSemester4-Project\data\IMG\right_2021_01_25_22_51_26_647.jpg,0,0,0,0.0001170976
D:\MtechSemester4-Project\data\IMG\center_2021_01_25_22_51_26_746.jpg,D:\MtechSemester4-Project\data\IMG\left_2021_01_25_22_51_26_746.jpg,D:\MtechSemester4-Project\data\IMG\right_2021_01_25_22_51_26_746.jpg,0,0,0,0.000142513
D:\MtechSemester4-Project\data\IMG\center_2021_01_25_22_51_26_847.jpg,D:\MtechSemester4-Project\data\IMG\left_2021_01_25_22_51_26_847.jpg,D:\MtechSemester4-Project\data\IMG\right_2021_01_25_22_51_26_847.jpg,0,0,0,0.0001679623
D:\MtechSemester4-Project\data\IMG\center_2021_01_25_22_51_26_947.jpg,D:\MtechSemester4-Project\data\IMG\left_2021_01_25_22_51_26_947.jpg,D:\MtechSemester4-Project\data\IMG\right_2021_01_25_22_51_26_947.jpg,0,0,0,0.0001990362
D:\MtechSemester4-Project\data\IMG\center_2021_01_25_22_51_27_047.jpg,D:\MtechSemester4-Project\data\IMG\left_2021_01_25_22_51_27_047.jpg,D:\MtechSemester4-Project\data\IMG\right_2021_01_25_22_51_27_047.jpg,0,0,0,3.187182E-05
D:\MtechSemester4-Project\data\IMG\center_2021_01_25_22_51_27_146.jpg,D:\MtechSemester4-Project\data\IMG\left_2021_01_25_22_51_27_146.jpg,D:\MtechSemester4-Project\data\IMG\right_2021_01_25_22_51_27_146.jpg,0,0,0,3.701817E-05
D:\MtechSemester4-Project\data\IMG\center_2021_01_25_22_51_27_246.jpg,D:\MtechSemester4-Project\data\IMG\left_2021_01_25_22_51_27_246.jpg,D:\MtechSemester4-Project\data\IMG\right_2021_01_25_22_51_27_246.jpg,0,0,0,2.215082E-05
D:\MtechSemester4-Project\data\IMG\center_2021_01_25_22_51_27_345.jpg,D:\MtechSemester4-Project\data\IMG\left_2021_01_25_22_51_27_345.jpg,D:\MtechSemester4-Project\data\IMG\right_2021_01_25_22_51_27_345.jpg,0,0,0,7.628254E-05
D:\MtechSemester4-Project\data\IMG\center_2021_01_25_22_51_27_444.jpg,D:\MtechSemester4-Project\data\IMG\left_2021_01_25_22_51_27_444.jpg,D:\MtechSemester4-Project\data\IMG\right_2021_01_25_22_51_27_444.jpg,0,0,0,9.091691E-05
D:\MtechSemester4-Project\data\IMG\center_2021_01_25_22_51_27_539.jpg,D:\MtechSemester4-Project\data\IMG\left_2021_01_25_22_51_27_539.jpg,D:\MtechSemester4-Project\data\IMG\right_2021_01_25_22_51_27_539.jpg,0,0,0,0.0001211892
D:\MtechSemester4-Project\data\IMG\center_2021_01_25_22_51_27_642.jpg,D:\MtechSemester4-Project\data\IMG\left_2021_01_25_22_51_27_642.jpg,D:\MtechSemester4-Project\data\IMG\right_2021_01_25_22_51_27_642.jpg,0,0,0,0.0001466386
D:\MtechSemester4-Project\data\IMG\center_2021_01_25_22_51_27_742.jpg,D:\MtechSemester4-Project\data\IMG\left_2021_01_25_22_51_27_742.jpg,D:\MtechSemester4-Project\data\IMG\right_2021_01_25_22_51_27_742.jpg,0,0,0,0.0002461391
D:\MtechSemester4-Project\data\IMG\center_2021_01_25_22_51_27_841.jpg,D:\MtechSemester4-Project\data\IMG\left_2021_01_25_22_51_27_841.jpg,D:\MtechSemester4-Project\data\IMG\right_2021_01_25_22_51_27_841.jpg,0,0,0,3.833035E-05
